amfi_code,scheme_name,fund_house,alpha,beta,r_squared,benchmark
100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,3.7476,-0.0583,0.0027,NIFTY100
100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,4.2818,0.0012,0.0,NIFTY100
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,27.1954,0.0051,0.0,NIFTY100
101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,21.3998,0.0211,0.0003,NIFTY100
101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,10.8971,-0.0653,0.0011,NIFTY100
101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,6.0861,0.0003,0.0,NIFTY100
102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,17.0488,-0.0195,0.0004,NIFTY100
102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,2.8969,-0.0421,0.0009,NIFTY100
102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,16.2113,0.0167,0.0002,NIFTY100
118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,21.8294,-0.0084,0.0001,NIFTY100
118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,15.6438,-0.0366,0.0011,NIFTY100
118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,17.5007,0.1035,0.0028,NIFTY100
118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,15.1364,-0.0014,0.0,NIFTY100
118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,5.0748,0.0013,0.0,NIFTY100
119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,6.8995,0.0097,0.0001,NIFTY100
119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,8.2328,0.0259,0.0006,NIFTY100
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,26.0767,-0.0663,0.0019,NIFTY100
119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,4.8016,-0.067,0.0012,NIFTY100
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,5.6209,-0.0064,0.0004,NIFTY100
119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,23.201,-0.0318,0.0009,NIFTY100
119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,19.8686,-0.0262,0.0006,NIFTY100
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,30.337,-0.0232,0.0001,NIFTY100
119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,4.8824,0.062,0.001,NIFTY100
120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,17.7033,-0.0403,0.0014,NIFTY100
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,21.1948,0.0162,0.0002,NIFTY100
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,29.2636,0.0005,0.0,NIFTY100
120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,16.2539,0.0419,0.0013,NIFTY100
120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,6.7462,-0.0004,0.0001,NIFTY100
120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,13.0429,0.0364,0.0012,NIFTY100
120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,7.8044,0.0181,0.0002,NIFTY100
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,27.3305,-0.0228,0.0003,NIFTY100
120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,6.4557,-0.0004,0.0001,NIFTY100
125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,17.7298,0.0488,0.0018,NIFTY100
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,11.9891,0.0091,0.0,NIFTY100
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,26.9838,0.0237,0.0005,NIFTY100
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,20.873,-0.0264,0.0005,NIFTY100
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,28.2704,0.0181,0.0002,NIFTY100
149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,13.1732,-0.0041,0.0,NIFTY100
149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,26.5986,-0.0025,0.0,NIFTY100
149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,30.0579,0.0115,0.0,NIFTY100
